,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
48,95884,Network Defenses,qatar summer,6,Z5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
49,95889,Applied Threat Analysis,qatar summer,12,Z,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"O'Meara, Kyle"
50,95894,Agile for Product Management,summer all,6,A5,Y,W,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH A301,"Davis, John"
51,95900,Internship,summer all,0-6,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Beggs, Sean"
52,95900,Internship,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",TBA,"O'Loughlin, Timothy"
53,95901,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
54,95901,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",TBA,TBA
55,95902,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
56,95902,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
57,95903,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
58,95903,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
59,95904,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
60,95904,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",TBA,TBA
61,95905,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
62,95905,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
63,95906,Independent Study,summer all,6,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
64,95906,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",TBA,TBA
65,95907,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
66,95907,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
67,95908,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
68,95908,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
69,95909,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
70,95909,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
71,95910,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
72,95910,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
73,95911,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
74,95911,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
75,95912,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
76,95912,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
77,95913,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
78,95913,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
79,95914,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
80,95914,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
81,95915,Independent Study,summer all,1-24,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
82,95915,Independent Study,summer all,,K,,TBA,TBA,TBA,"Adelaide, Australia",DNM,TBA
