,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,91717,Business Writing for Leaders,qatar summer,6,Z5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Hyatt, Kim"
1,91826,MPM Project Course,summer all,12,A,,T,04:30PM,07:20PM,"Pittsburgh, Pennsylvania",HBH 1007,TBA
2,91844,Managing the Customer Experience,summer all,12,A,,W,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1004,"Balestreire, Joseph"
3,91855,Financial Management,summer all,12,K,,MW,10:30AM,11:50AM,"Adelaide, Australia",TOR CLASS1,"Lim, Tiong"
4,91869,Conflict Resolution,qatar summer,6,Z5,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Mason, Lola"
5,91889,Internship,summer all,0-6,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
