,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,39120,CIT Internship                                                                   : CIT Internship,summer all,0,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
1,39390,Cit Co-Op                                                                        : CIT Co-Op,summer all,0-3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
2,39499,Summer Curricular Practical Training                                             : Summer Curriculur Practical Training,summer all,3,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
3,39499,Summer Curricular Practical Training                                             : Summer Curriculur Practical Training,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
4,39500,Honors Research Project                                                          : CIT Honors Research Project,summer all,1-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Larsen, Kurt"
5,39646,Independent Study Interaction Design Studio,summer one,1-12,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Siewiorek, Daniel"
6,39646,Independent Study Interaction Design Studio,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Siewiorek, Daniel"
7,39660,Masters EST&P Project                                                            : EST&P Project Course,summer all,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Landis, David"
