,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,06250,Practical Internship for Senior Chemical Engineering,summer all,0-6,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Biegler, Lorenz"
1,06300,Junior Research Project,summer all,3-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Biegler, Lorenz"
2,06400,Senior Research Project,summer all,3-36,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Biegler, Lorenz"
3,06405,Independent Study,summer all,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Biegler, Lorenz"
4,06600,Masters Chemical Engineering Project,summer all,1-48,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Biegler, Lorenz"
5,06803,Graduate Reading and Research,summer all,"5,18,36",R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Biegler, Lorenz"
6,06995,Internship in Chemical Engineering,summer all,1-36,I,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Biegler, Lorenz"
7,06995,Internship in Chemical Engineering,summer all,,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Biegler, Lorenz"
