,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,52390,BXA Undergraduate Research Project,summer all,3-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Murray, M. Stephanie
Hagan, Carrie"
1,52400,BXA Seminar: Capstone Project Research & Production,summer all,9,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Murray, M. Stephanie
Hagan, Carrie"
2,52590,BXA Internship,summer all,3-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,"Murray, M. Stephanie
Hagan, Carrie"
