,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,85102,Introduction to Psychology,summer two,9,U,,MTWRF,12:00PM,01:20PM,"Pittsburgh, Pennsylvania",GHC 4211,"Boyd, Chante"
1,85241,Social Psychology,summer two,9,U,,MTWRF,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",GHC 4211,"Boyd, Chante"
2,85442,Health Psychology,qatar summer,9,W,,TBA,TBA,TBA,"Doha, Qatar",TBA,"Le Roux, Cecile"
3,85482,Internship in Psychology,summer all,3-12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA
4,85482,Internship in Psychology,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Thiessen, Erik"
5,85505,Readings In Psychology,summer two,3-12,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
6,85781,Graduate Reading and Research,summer two,0-99,R,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
7,85781,Graduate Reading and Research,summer one,,S,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
8,85781,Graduate Reading and Research,summer two,,U,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA
