,Course_id,Course Title,Session,Units,Sec,Mini,Days,Begin,End,Teaching Location,Bldg/Room,Instructor
0,62049,School of Architecture Summer Study Abroad,summer all,12,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Gutschow, Kai
Gruber, Stefan"
1,62306,Music-Cinema-Culture,summer two,9,U,,TWR,01:00PM,03:50PM,"Pittsburgh, Pennsylvania",PH  A19,"Sciannameo, Franco"
2,62310,"Alexander Technique for Presenting/Speaking, Performance and other activities",summer one,9,S,,TWR,10:00AM,12:50PM,"Pittsburgh, Pennsylvania",PCA 313,"Feindel, Janet"
